"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",165779,"Anaerococcus prevotii","bacteria",561.7871625,29032,146.527,24254,6.40118670502981e-39
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",165779,"Anaerococcus obesiensis","bacteria",320.8913101,16583,166.63,3014,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",543311,"Parvimonas micra","bacteria",2086.71267,107837,325.996,15928,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2045298,"Shuttle vector pG108","",21.924251,1133,397.192,780,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1898207,"Clostridiales bacterium","bacteria",19.00230758,982,76.5805,659,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",198431,"uncultured prokaryote","",3.599215081,186,88.881,238,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",172733,"uncultured Clostridiales bacterium","bacteria",0.15480495,8,78,41,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",77133,"uncultured bacterium","bacteria",424.5719252,21941,430.955,2762,0.138647266
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1899017,"Candidatus Melainabacteria bacterium MEL.A1","bacteria",4.489343542,232,87.36,18,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1348854,"uncultured bacterium EB1","bacteria",0.328960518,17,121.4,15,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",245014,"butyrate-producing bacterium SS3/4","bacteria",12.55855155,649,179.549,7,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",155900,"uncultured organism","",115.3490382,5961,766.88,12,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2094242,"Victivallales bacterium CCUG 44730","bacteria",3.657266937,189,199.394,8,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2572088,"Candidatus Saccharibacteria bacterium oral taxon 957","bacteria",0.174155568,9,110.333,8,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",245012,"butyrate-producing bacterium SM4/1","bacteria",0.193506187,10,74,2,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",136703,"uncultured rumen bacterium","bacteria",0.116103712,6,78,2,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1400053,"Bacteroidales bacterium CF","bacteria",0.290259281,15,72.8333,1,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium gonidiaformans","bacteria",1023.763834,52906,158.348,33904,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium nucleatum","bacteria",762.5111305,39405,174.421,23244,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",848,"Fusobacterium necrophorum","bacteria",166.3766197,8598,433.105,21257,0
