"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1164882,2,1164882,"Lachnoanaerobaculum","","bacteria","false",127368.07615587,100,100,12.3197333107945,384,3,231,85.3985,116.359,"10^-25.9326",NA,NA,NA,NA,100,30.5426721663446,952,20,767,77.5145,79.9532,"10^0.00816824",NA,NA,NA,NA,"[617123, 467210, 979627, 936596, 936595, 2049030, 2490855, 936594]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2304692,2,2304692,"Hungateiclostridium","","bacteria","false",126726.423379266,100,100,9.52854373256759,297,1,84,86.2608,106.967,"10^-24.6956",NA,NA,NA,NA,100,9.97770067619031,311,4,282,64.6569,105.639,"10^2.46741e-06",NA,NA,NA,NA,"[1515, 288965, 1677857, 35830, 253314]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",41273,2,41273,"Tissierella","","bacteria","false",121272.374778133,100,100,8.30940345702023,259,1,14,89.339,74.7826,"10^-24.6312",NA,NA,NA,NA,100,14.565518028908,454,9,327,70.4223,94.8406,"10^7.52854e-06",NA,NA,NA,NA,"[43131, 2507161, 79681, 43143, 1280483, 2607614]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2679910,2,2679910,"Intestinibaculum","","bacteria","false",118064.110895114,100,100,11.5497499788698,360,2,33,90.1846,122.52,"10^-47.5437",NA,NA,NA,NA,100,0.256661110641551,8,1,4,84.8025,62.75,"10^1.58386e-13",NA,NA,NA,NA,"[2487118]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",662,2,662,"Vibrio","","bacteria","false",117750.738706789,100,3.41078124337181,16.0734020539272,501,NA,NA,92.55,75.528,"10^-31.4763",4.42555,3.41501,NA,NA,100,14.565518028908,454,NA,NA,77.1638,40.985,"10^0.0107165",NA,NA,NA,NA,"[670, 672, 666, 1918946, 335972, 153622, 52443, 55601, 723172, 212663, 678, 2077090, 553239, 136468, 680, 1891186, 674, 696485, 29498, 28172, 676, 663, 1667024, 300876, 1381081, 675, 2479546, 1481663, 2661921, 446374, 669, 1435069, 1131610, 170651, 29497, 687, 2662262, 29495, 76258, 45658, 689]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",724,2,724,"Haemophilus","","bacteria","false",117112.710309351,100,-0.698848133973652,32.595961051477,1016,11,392,93.6396,188.444,"10^-92.7479",68.441,51.2916,NA,NA,100,27.5269041163064,858,14,492,85.339,106.113,"10^4.74784e-06",NA,NA,NA,NA,"[726, 729, 727, 733, 735, 1661745, 249188, 712310, 730]",0,4.19998779551018,1.55727595310184e-08,1.877382676795e-08
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",648802,2,648802,"Rummeliibacillus","","bacteria","false",114855.847012094,100,100,11.421419423549,356,1,342,80.5825,145.9,"10^-18.0107",NA,NA,NA,NA,100,0.0641652776603878,2,NA,NA,64.865,74,"10^2.85e-31",NA,NA,NA,NA,"[241244]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1266,2,1266,"Sarcina","","bacteria","false",111647.583129075,100,100,11.0685103964169,345,5,112,85.45,122.188,"10^-29.5636",NA,NA,NA,NA,100,6.96193262615208,217,4,203,55.8481,100.831,"10^2.32246e-06",NA,NA,NA,NA,"[2726954, 1798184]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",186831,2,186831,"Acetoanaerobium","","bacteria","false",107797.666469452,100,100,10.5551881751338,329,5,65,88.2394,90.4615,"10^-22.1337",NA,NA,NA,NA,100,0.288743749471745,9,NA,NA,76.8,39.25,"10^2.435e-05",NA,NA,NA,NA,"[1511, 745369]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1069494,2,1069494,"Trueperella","","bacteria","false",101701.965091715,100,100,14.1163610852853,440,6,158,87.4819,156.078,"10^-43.4671",NA,NA,NA,NA,100,17.2283770518141,537,12,382,80.2121,99.51,"10^0.0001218",NA,NA,NA,NA,"[1661, 2733571, 1581135, 312285, 59561, 1581142]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1918538,2,1918538,"Longibaculum","","bacteria","false",100418.659538507,100,100,9.84937012086953,307,6,67,93.6745,200.411,"10^-116.11",NA,NA,NA,NA,100,1.0587270813964,33,NA,NA,82.7,36.5556,"10^4.91604e-06",NA,NA,NA,NA,"[2584943, 1796628]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",456492,2,456492,"Saccharibacillus","","bacteria","false",98493.7012086953,100,100,0.545404860113297,17,NA,NA,85.139,81.3333,"10^-24.929",NA,NA,NA,NA,100,9.84937012086953,307,1,254,74.3905,62.6075,"10^2.20628e-09",NA,NA,NA,NA,"[2060666, 2583377]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1573534,2,1573534,"Faecalitalea","","bacteria","false",97966.4731575713,100,25.4633037684699,19.4741617699277,607,6,115,92.214,142.61,"10^-59.3828",0.526179,0.744129,NA,NA,100,8.53398192883158,266,3,69,94.141,51.0465,"10^7.06455e-06",NA,NA,NA,NA,"[39483]",0,0,0,0
