"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",278993,2,278993,"Thermincola","","bacteria","false",28483.2139307586,100,100,2.16472425873765,38,1,33,90.994,208.25,"10^-73.0636",NA,NA,NA,NA,100,0.683597134338206,12,NA,NA,81.3,48,"10^7.21e-17",NA,NA,NA,NA,"[863643]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1754,2,1754,"Thermoanaerobacter","","bacteria","false",27913.5496521434,100,100,4.67124708464441,82,NA,NA,89.8022,78.35,"10^-29.7076",NA,NA,NA,NA,100,1.08236212936883,19,NA,NA,81.6,36,"10^9.01604e-06",NA,NA,NA,NA,"[583357, 1757, 46354, 108150, 447593, 573062, 496866]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",629,2,629,"Yersinia","","bacteria","false",27913.5496521434,100,100,1.36719426867641,24,NA,NA,98.8345,85,"10^-44.9179",NA,NA,NA,NA,100,2.39258997018372,42,NA,NA,84.4833,33.6667,"10^1.89053e-08",NA,NA,NA,NA,"[632, 33060, 633]",2,0.000547440534258332,6.26956164099796e-65,6.81814828458529e-65
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",38832,2,38832,"Micromonas","","eukaryota","false",26204.5568162979,100,100,2.79135496521434,49,NA,NA,90.9458,82.6,"10^-33.146",NA,NA,NA,NA,100,0.0569664278615172,1,NA,NA,95,20,"10^0.000147",NA,NA,NA,NA,"[38833, 296587]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",28231,2,28231,"Geobacter","","bacteria","false",26204.5568162979,100,100,3.58888495527558,63,NA,NA,89.1361,82.6471,"10^-29.4066",NA,NA,NA,NA,100,2.62045568162979,46,NA,NA,39.344,61,"10^1.38e-08",NA,NA,NA,NA,"[60035, 351604, 443144, 313985, 225194, 1277350, 443143, 1203471, 2597769]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",1253,2,1253,"Pediococcus","","bacteria","false",26204.5568162979,100,100,6.49417277621296,114,NA,NA,94.7329,114,"10^-57.9766",NA,NA,NA,NA,100,1.59505998012248,28,NA,NA,85.3857,39.2857,"10^6.25714e-07",NA,NA,NA,NA,"[1254, 1255, 54062, 187452, 51663]",0,0.000109488106851666,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",893,2,893,"Desulfobulbus","","bacteria","false",26204.5568162979,100,100,2.62045568162979,46,1,44,83.2537,263.5,"10^-54.3648",NA,NA,NA,NA,100,0.0569664278615172,1,NA,NA,97.9,48,"10^7.73e-24",NA,NA,NA,NA,"[894, 231447]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",33926,2,33926,"Candidatus Phytoplasma","plant yellows agents","bacteria","false",25634.8925376827,100,100,3.01922067666041,53,NA,NA,86.5673,81.6667,"10^-28.2656",NA,NA,NA,NA,100,4.61428065678289,81,NA,NA,81.7111,32.3333,"10^0.000141849",NA,NA,NA,NA,"[59748, 265048, 1497611, 2490543, 229545, 69896, 37692]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",327159,2,327159,"Candidatus Accumulibacter","","bacteria","false",25065.2282590676,100,100,1.25326141295338,22,NA,NA,86.301,146,"10^-59.651",NA,NA,NA,NA,100,1.25326141295338,22,NA,NA,93.8,48,"10^1.19e-21",NA,NA,NA,NA,"[327160]",0,0,0,0
"DOXYPEP_R088_RECTAL_RNA_SEQ093_S27",507,2,507,"Alcaligenes","","bacteria","false",24495.5639804524,100,100,2.05079140301462,36,NA,NA,96.955,76.4,"10^-37.1914",NA,NA,NA,NA,100,2.79135496521434,49,NA,NA,96.0667,29.5,"10^4.825e-06",NA,NA,NA,NA,"[511, 1482717, 1386079]",0,4.27774382858293,0.0232475013930179,0.0237247228292382
